iter	Passed	Remaining
202	321	1260
203	322	1256
204	323	1253
205	324	1248
206	325	1245
207	325	1241
208	326	1237
209	327	1233
210	328	1229
211	330	1227
212	331	1224
213	332	1221
214	333	1217
215	334	1214
216	335	1211
217	336	1207
218	337	1203
219	338	1200
220	339	1197
221	340	1193
222	341	1189
223	342	1186
224	343	1183
225	344	1180
226	346	1178
227	347	1176
228	348	1173
229	349	1170
230	350	1168
231	352	1165
232	353	1162
233	354	1159
234	355	1156
235	356	1153
236	357	1150
237	358	1148
238	360	1146
239	361	1144
240	362	1141
241	363	1138
242	364	1135
243	365	1132
244	366	1129
245	367	1126
246	368	1123
247	369	1120
248	370	1117
249	371	1114
250	372	1111
251	373	1108
252	374	1106
253	375	1103
254	376	1101
255	377	1098
256	378	1095
257	379	1092
258	380	1089
259	381	1086
260	382	1083
261	383	1080
262	384	1078
263	385	1075
264	386	1072
265	387	1070
266	389	1068
267	390	1066
268	391	1063
269	392	1060
270	393	1058
271	394	1055
272	395	1053
273	396	1050
274	397	1047
275	398	1044
276	399	1042
277	400	1039
278	401	1037
279	402	1035
280	403	1032
281	404	1030
282	405	1028
283	407	1026
284	407	1023
285	409	1021
286	410	1018
287	410	1015
288	411	1013
289	412	1010
290	413	1007
291	414	1005
292	415	1002
293	416	1000
294	417	997
295	418	995
296	419	993
297	420	991
298	421	988
299	422	986
300	423	983
301	424	980
302	425	978
303	426	975
304	427	973
305	428	971
306	429	969
307	430	966
308	431	964
309	432	962
310	433	959
311	434	957
312	435	955
313	436	953
314	437	951
315	438	949
316	439	947
317	440	944
318	441	942
319	442	940
320	443	937
321	444	935
322	445	933
323	446	931
324	447	928
325	448	927
326	449	925
327	450	923
328	451	921
329	452	918
330	453	916
331	454	915
332	455	912
333	456	910
334	457	908
335	458	906
336	459	903
337	460	901
338	461	899
339	462	897
340	463	896
341	464	893
342	465	891
343	466	889
344	467	887
345	468	885
346	469	883
347	470	882
348	471	879
349	472	877
350	473	875
351	474	872
352	474	870
353	475	868
354	476	865
355	477	863
356	478	862
357	479	860
358	480	858
359	481	855
360	482	853
361	483	851
362	483	849
363	484	846
364	485	844
365	486	842
366	487	841
367	488	838
368	489	836
369	490	834
370	490	832
371	491	829
372	492	828
373	493	826
374	494	824
375	495	822
376	496	820
377	497	818
378	498	816
379	499	814
380	499	812
381	500	810
382	501	808
383	502	806
384	503	804
385	504	802
386	505	799
387	505	797
388	506	795
389	507	794
390	508	792
391	509	790
392	510	789
393	511	787
394	512	785
395	513	783
396	514	781
397	515	780
398	516	778
399	517	776
400	518	774
401	519	772
402	520	770
403	520	768
404	521	766
405	522	764
406	523	763
407	524	761
408	525	759
409	526	757
410	527	755
411	528	753
412	529	752
413	529	750
414	530	748
415	531	745
416	532	743
417	532	741
418	533	739
419	534	737
420	535	735
421	535	733
422	536	731
423	537	730
424	538	728
425	539	726
426	540	725
427	541	723
428	542	722
429	543	720
430	544	718
431	545	716
432	546	715
433	547	713
434	547	711
435	548	710
436	549	708
437	550	706
438	551	705
439	554	705
440	555	704
441	556	702
442	557	701
443	558	699
444	559	698
445	560	696
446	561	695
447	563	693
448	564	692
449	565	690
450	566	689
451	567	687
452	568	686
453	569	685
454	570	683
455	571	682
456	572	680
457	573	679
458	574	677
459	575	676
460	576	674
461	577	672
462	578	671
463	580	670
464	581	668
465	582	667
466	583	666
467	584	664
468	585	663
469	586	661
470	587	660
471	588	658
472	589	657
473	590	655
474	591	654
475	592	652
476	594	651
477	595	649
478	596	648
479	597	647
480	598	646
481	600	644
